[16:46:56] Debug file initialized
[16:46:56] Finished setting up camera
[16:46:56] First cube initialized
[16:46:56] Earth initialized
[16:46:56] The app is being executed...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:57] Test drawing...
[16:46:58] Test drawing...
[16:46:58] Test drawing...
[16:46:58] Test drawing...
[16:46:58] Test drawing...
[16:46:58] Test drawing...
[16:46:58] Test drawing...
[16:46:58] Test drawing...
[16:46:58] Test drawing...
[16:46:58] Test drawing...
[16:46:58] Test drawing...
[16:46:58] Test drawing...
[16:46:58] Test drawing...
[16:46:58] Test drawing...
[16:46:58] Test drawing...
[16:46:58] The app has being executed.
[16:46:58] Finished; shutting down...
